i1	V(N001,N002)	V(N002,N003)	V(N003,N004)	V(n004)
2.499999999999990e-002	7.383752e-001	3.362829e+000	7.442368e-001	2.382001e-001
2.509999999999990e-002	7.384782e-001	3.364096e+000	7.444745e-001	2.383468e-001
2.519999999999990e-002	7.385807e-001	3.365359e+000	7.447115e-001	2.384929e-001
2.529999999999990e-002	7.386832e-001	3.366620e+000	7.449478e-001	2.386385e-001
2.539999999999990e-002	7.387853e-001	3.367877e+000	7.451833e-001	2.387835e-001
2.549999999999990e-002	7.388873e-001	3.369132e+000	7.454182e-001	2.389279e-001
2.559999999999990e-002	7.389879e-001	3.370385e+000	7.456524e-001	2.390719e-001
2.569999999999990e-002	7.390890e-001	3.371635e+000	7.458858e-001	2.392152e-001
2.579999999999990e-002	7.391896e-001	3.372882e+000	7.461186e-001	2.393581e-001
2.589999999999990e-002	7.392893e-001	3.374126e+000	7.463507e-001	2.395004e-001
2.599999999999990e-002	7.393894e-001	3.375368e+000	7.465821e-001	2.396422e-001
2.609999999999990e-002	7.394886e-001	3.376607e+000	7.468129e-001	2.397834e-001
2.619999999999990e-002	7.395878e-001	3.377843e+000	7.470430e-001	2.399242e-001
2.629999999999990e-002	7.396860e-001	3.379078e+000	7.472724e-001	2.400644e-001
2.639999999999990e-002	7.397842e-001	3.380309e+000	7.475012e-001	2.402041e-001
2.649999999999990e-002	7.398820e-001	3.381538e+000	7.477293e-001	2.403433e-001
2.659999999999990e-002	7.399793e-001	3.382765e+000	7.479568e-001	2.404820e-001
2.669999999999989e-002	7.400765e-001	3.383988e+000	7.481837e-001	2.406202e-001
2.679999999999989e-002	7.401733e-001	3.385210e+000	7.484098e-001	2.407579e-001
2.689999999999989e-002	7.402697e-001	3.386429e+000	7.486354e-001	2.408951e-001
2.699999999999989e-002	7.403655e-001	3.387646e+000	7.488604e-001	2.410318e-001
2.709999999999989e-002	7.404613e-001	3.388860e+000	7.490847e-001	2.411681e-001
2.719999999999989e-002	7.405567e-001	3.390072e+000	7.493084e-001	2.413038e-001
2.729999999999989e-002	7.406516e-001	3.391281e+000	7.495315e-001	2.414391e-001
2.739999999999989e-002	7.407460e-001	3.392488e+000	7.497540e-001	2.415739e-001
2.749999999999989e-002	7.408400e-001	3.393693e+000	7.499759e-001	2.417082e-001
2.759999999999989e-002	7.409344e-001	3.394896e+000	7.501971e-001	2.418421e-001
2.769999999999989e-002	7.410274e-001	3.396096e+000	7.504178e-001	2.419754e-001
2.779999999999989e-002	7.411208e-001	3.397294e+000	7.506379e-001	2.421084e-001
2.789999999999989e-002	7.412133e-001	3.398489e+000	7.508574e-001	2.422408e-001
2.799999999999989e-002	7.413058e-001	3.399683e+000	7.510764e-001	2.423729e-001
2.809999999999989e-002	7.413983e-001	3.400874e+000	7.512947e-001	2.425044e-001
2.819999999999989e-002	7.414904e-001	3.402063e+000	7.515125e-001	2.426355e-001
2.829999999999988e-002	7.415819e-001	3.403249e+000	7.517297e-001	2.427662e-001
2.839999999999988e-002	7.416730e-001	3.404434e+000	7.519463e-001	2.428964e-001
2.849999999999988e-002	7.417636e-001	3.405616e+000	7.521624e-001	2.430262e-001
2.859999999999988e-002	7.418547e-001	3.406796e+000	7.523780e-001	2.431556e-001
2.869999999999988e-002	7.419448e-001	3.407975e+000	7.525929e-001	2.432845e-001
2.879999999999988e-002	7.420344e-001	3.409150e+000	7.528073e-001	2.434130e-001
2.889999999999988e-002	7.421246e-001	3.410324e+000	7.530212e-001	2.435410e-001
2.899999999999988e-002	7.422137e-001	3.411495e+000	7.532345e-001	2.436686e-001
2.909999999999988e-002	7.423029e-001	3.412665e+000	7.534474e-001	2.437959e-001
2.919999999999988e-002	7.423911e-001	3.413833e+000	7.536596e-001	2.439227e-001
2.929999999999988e-002	7.424798e-001	3.414998e+000	7.538713e-001	2.440490e-001
2.939999999999988e-002	7.425680e-001	3.416162e+000	7.540825e-001	2.441750e-001
2.949999999999988e-002	7.426562e-001	3.417323e+000	7.542932e-001	2.443006e-001
2.959999999999988e-002	7.427435e-001	3.418482e+000	7.545033e-001	2.444257e-001
2.969999999999988e-002	7.428308e-001	3.419639e+000	7.547130e-001	2.445505e-001
2.979999999999988e-002	7.429175e-001	3.420795e+000	7.549221e-001	2.446748e-001
2.989999999999988e-002	7.430043e-001	3.421948e+000	7.551307e-001	2.447987e-001
2.999999999999987e-002	7.430906e-001	3.423100e+000	7.553388e-001	2.449223e-001
3.009999999999987e-002	7.431765e-001	3.424249e+000	7.555464e-001	2.450454e-001
3.019999999999987e-002	7.432623e-001	3.425396e+000	7.557535e-001	2.451682e-001
3.029999999999987e-002	7.433481e-001	3.426542e+000	7.559602e-001	2.452906e-001
3.039999999999987e-002	7.434330e-001	3.427686e+000	7.561662e-001	2.454126e-001
3.049999999999987e-002	7.435179e-001	3.428828e+000	7.563719e-001	2.455342e-001
3.059999999999987e-002	7.436032e-001	3.429967e+000	7.565769e-001	2.456554e-001
3.069999999999987e-002	7.436872e-001	3.431105e+000	7.567816e-001	2.457763e-001
3.079999999999987e-002	7.437716e-001	3.432241e+000	7.569858e-001	2.458967e-001
3.089999999999987e-002	7.438550e-001	3.433376e+000	7.571894e-001	2.460168e-001
3.099999999999987e-002	7.439389e-001	3.434508e+000	7.573927e-001	2.461365e-001
3.109999999999987e-002	7.440219e-001	3.435639e+000	7.575954e-001	2.462559e-001
3.119999999999987e-002	7.441049e-001	3.436768e+000	7.577977e-001	2.463749e-001
3.129999999999987e-002	7.441878e-001	3.437895e+000	7.579995e-001	2.464935e-001
3.139999999999987e-002	7.442703e-001	3.439020e+000	7.582008e-001	2.466118e-001
3.149999999999988e-002	7.443523e-001	3.440143e+000	7.584018e-001	2.467297e-001
3.159999999999988e-002	7.444344e-001	3.441265e+000	7.586022e-001	2.468472e-001
3.169999999999988e-002	7.445164e-001	3.442385e+000	7.588021e-001	2.469644e-001
3.179999999999988e-002	7.445974e-001	3.443503e+000	7.590016e-001	2.470812e-001
3.189999999999989e-002	7.446790e-001	3.444619e+000	7.592008e-001	2.471977e-001
3.199999999999989e-002	7.447596e-001	3.445734e+000	7.593994e-001	2.473139e-001
3.209999999999989e-002	7.448406e-001	3.446847e+000	7.595976e-001	2.474297e-001
