time	V(N004,N005)	V(n003)
5.854270720260970e-002	2.017156e-001	1.427398e+000
5.858297877199711e-002	3.308600e-001	1.606687e+000
5.862898344694415e-002	4.958460e-001	1.811021e+000
5.869767835395977e-002	7.584341e-001	2.115047e+000
5.879533460395977e-002	1.145343e+000	2.545027e+000
5.899064710395977e-002	1.936855e+000	3.395133e+000
5.928361585395978e-002	3.120852e+000	4.636147e+000
5.957658460395978e-002	4.265995e+000	5.822793e+000
5.986955335395978e-002	5.350874e+000	6.940605e+000
6.016252210395979e-002	6.359090e+000	7.975957e+000
6.045549085395979e-002	7.276698e+000	8.916227e+000
6.074845960395980e-002	8.091534e+000	9.749953e+000
6.104142835395980e-002	8.793035e+000	1.046697e+001
6.133439710395981e-002	9.372226e+000	1.105853e+001
6.162736585395981e-002	9.821759e+000	1.151742e+001
6.192033460395981e-002	1.013596e+001	1.183804e+001
6.221330335395982e-002	1.031086e+001	1.201648e+001
6.250627210395982e-002	1.034426e+001	1.205056e+001
6.279924085395980e-002	1.023575e+001	1.193986e+001
6.309220960395978e-002	9.986672e+000	1.168571e+001
6.338517835395977e-002	9.600152e+000	1.129122e+001
6.358049085395975e-002	9.268446e+000	1.095256e+001
6.367814710395975e-002	9.081052e+000	1.076118e+001
6.377580335395974e-002	8.879643e+000	1.055545e+001
6.387345960395974e-002	8.664502e+000	1.033564e+001
6.397111585395973e-002	8.435932e+000	1.010205e+001
6.406877210395973e-002	8.194260e+000	9.854993e+000
6.416642835395972e-002	7.939828e+000	9.594808e+000
6.426408460395972e-002	7.672999e+000	9.321846e+000
6.436174085395971e-002	7.394157e+000	9.036476e+000
6.445939710395970e-002	7.103704e+000	8.739085e+000
6.465470960395969e-002	6.489669e+000	8.109868e+000
6.485002210395968e-002	5.834511e+000	7.437601e+000
6.504533460395967e-002	5.142180e+000	6.725925e+000
6.524064710395966e-002	4.417016e+000	5.978697e+000
6.543595960395965e-002	3.663866e+000	5.199962e+000
6.563127210395964e-002	2.888372e+000	4.393937e+000
6.582658460395963e-002	2.097771e+000	3.564989e+000
6.602189710395962e-002	1.303711e+000	2.717602e+000
6.611955335395961e-002	9.133956e-001	2.288423e+000
6.621720960395960e-002	5.411554e-001	1.856354e+000
6.631486585395960e-002	2.051620e-001	1.422200e+000
6.635740336017391e-002	8.910543e-002	1.232496e+000
6.638439040809691e-002	4.228723e-002	1.111902e+000
6.641603521144396e-002	1.190853e-002	9.703575e-001
6.642695479937998e-002	6.495416e-003	9.214856e-001
6.643801543760150e-002	3.951758e-003	8.719600e-001
6.645252713897169e-002	2.025127e-003	8.069631e-001
6.646573125486938e-002	1.067698e-003	7.478063e-001
6.648095719131311e-002	5.237758e-004	6.795722e-001
6.649810599884065e-002	2.359748e-004	6.027004e-001
6.651889226700583e-002	9.196997e-005	5.094987e-001
6.654435098275977e-002	2.963841e-005	3.953190e-001
6.657707080750479e-002	7.115304e-006	2.485472e-001
6.662032813996102e-002	2.039596e-006	5.450806e-002
6.669500256497395e-002	1.517385e-004	-2.802927e-001
6.679265881497394e-002	1.685679e-003	-7.177293e-001
6.682698481709236e-002	4.957765e-003	-8.712897e-001
6.684859393558496e-002	1.135236e-002	-9.678408e-001
6.686551779558966e-002	2.222174e-002	-1.043394e+000
6.688414371201898e-002	4.318947e-002	-1.126480e+000
6.690437098574772e-002	7.918751e-002	-1.216617e+000
6.693928772563473e-002	1.658512e-001	-1.371998e+000
6.698013748104718e-002	2.905864e-001	-1.553454e+000
6.702218090714081e-002	4.367296e-001	-1.739735e+000
6.708276080635342e-002	6.638292e-001	-2.007115e+000
6.717630163849998e-002	1.029410e+000	-2.417721e+000
6.727395788849998e-002	1.419570e+000	-2.843188e+000
6.746927038849997e-002	2.208069e+000	-3.681400e+000
6.766458288849996e-002	2.988929e+000	-4.498788e+000
6.785989538849994e-002	3.751669e+000	-5.290929e+000
6.805520788849993e-002	4.489542e+000	-6.053533e+000
6.825052038849992e-002	5.197130e+000	-6.782469e+000
6.844583288849991e-002	5.869750e+000	-7.473789e+000
6.864114538849990e-002	6.503206e+000	-8.123750e+000
6.873880163849989e-002	6.804044e+000	-8.432110e+000
6.883645788849989e-002	7.093688e+000	-8.728830e+000
6.893411413849988e-002	7.371716e+000	-9.013506e+000
6.903177038849988e-002	7.637724e+000	-9.285752e+000
6.912942663849987e-002	7.891327e+000	-9.545201e+000
6.922708288849987e-002	8.132163e+000	-9.791501e+000
6.932473913849986e-002	8.359887e+000	-1.002432e+001
6.942239538849986e-002	8.574175e+000	-1.024334e+001
6.952005163849985e-002	8.774724e+000	-1.044826e+001
6.961770788849984e-002	8.961249e+000	-1.063881e+001
6.981302038849983e-002	9.291197e+000	-1.097579e+001
7.010598913849982e-002	9.675036e+000	-1.136766e+001
7.039895788849980e-002	9.921403e+000	-1.161911e+001
7.069192663849978e-002	1.002720e+001	-1.172707e+001
7.098489538849977e-002	9.991110e+000	-1.169024e+001
7.127786413849975e-002	9.813583e+000	-1.150907e+001
7.147317663849974e-002	9.617690e+000	-1.130913e+001
7.176614538849972e-002	9.210284e+000	-1.089317e+001
7.205911413849971e-002	8.671305e+000	-1.034259e+001
7.235208288849969e-002	8.007600e+000	-9.664124e+000
7.264505163849967e-002	7.227668e+000	-8.866031e+000
7.293802038849966e-002	6.341620e+000	-7.958045e+000
7.323098913849964e-002	5.361205e+000	-6.951234e+000
7.352395788849962e-002	4.299963e+000	-5.857874e+000
7.381692663849961e-002	3.173858e+000	-4.691292e+000
7.410989538849959e-002	2.003771e+000	-3.465706e+000
7.430520788849958e-002	1.216807e+000	-2.623216e+000
7.440286413849957e-002	8.312639e-001	-2.196042e+000
7.450052038849957e-002	4.655059e-001	-1.765764e+000
7.458428655252614e-002	1.859056e-001	-1.394749e+000
7.462443425758621e-002	8.093739e-002	-1.216311e+000
7.464934356507844e-002	3.972942e-002	-1.105355e+000
7.468004900207374e-002	1.143447e-002	-9.684213e-001
7.468972136126717e-002	6.703705e-003	-9.252537e-001
7.470097455838345e-002	4.085243e-003	-8.750005e-001
7.471551397873572e-002	2.093285e-003	-8.100460e-001
7.472876363261764e-002	1.102716e-003	-7.508286e-001
7.474388875190051e-002	5.438328e-004	-6.832000e-001
7.476097310935198e-002	2.461374e-004	-6.067781e-001
7.478158987590970e-002	9.670854e-005	-5.145128e-001
7.480684446333481e-002	3.147125e-005	-4.014379e-001
7.483918070798433e-002	7.763505e-006	-2.565846e-001
7.488318978251989e-002	2.581626e-006	-5.935447e-002
7.496651951621637e-002	9.861588e-005	3.141522e-001
7.504369697889562e-002	8.277595e-004	6.599914e-001
7.507675106246793e-002	2.505958e-003	8.080207e-001
